school_name,overview_paragraph,language_classes,neighborhood,location,phone_number,website,total_students,Borough
Kurt Hahn Expeditionary Learning School,"The Kurt Hahn Expeditionary Learning School is a 9-12 school working in partnership with New York City Outward Bound and Expeditionary Learning Schools to arm students with the knowledge, skills, and character necessary to serve as informed, thoughtful, and courageous civic leaders in their own communities and beyond. Students at the Kurt Hahn School will enroll in a challenging standards based curriculum that readies them for successful graduation from 4 year colleges. The Kurt Hahn School emphasizes the interdisciplinary, in-depth study of compelling topics which develop studentsÂ’ abilities to creatively solve problems and think critically.","French, Spanish",East Flatbush,"5800 Tilden Avenue, Brooklyn NY 11203 (40.647728, -73.922212)",718-629-1204,www.kurthahnschool.org,357,BROOKLYN 
Frederick Douglass Academy IV Secondary School,"The Frederick Douglass Academy IV (FDA IV) Secondary School is a place of scholarship where students are considered scholars. We maintain an atmosphere of order, civility, maturity, and seriousness of purpose upheld by a set of core Twelve Non-Negotiable Rules. Our scholars are instilled with a ScholarÂ’s Creed, adapted from the Morehouse College StudentsÂ’ Creed, that reinforces the schoolÂ’s cohesive culture, underscores its high expectations and builds the scholarsÂ’ sense of pride in their school and themselves.",,Bedford-Stuyvesant,"125 Stuyvesant Avenue, ??rooklyn, NY 11221 (40.6921, -73.9317)",718-574-2820,schools.nyc.gov/SchoolPortals/16/K393,77,BROOKLYN 
Fannie Lou Hamer Freedom High School,"Since 1994, our graduates have gone on to succeed in city, state, and private colleges and pursue careers in business, media, social work, education, and technical fields. Through college classes, internships, and digital courses, we provide a broad range of learning opportunities and we leverage technology to maximize individualization, independence, and depth of learning. Our four-year Advisory curriculum focuses on the academic development, knowledge, as well as the critical thinking, research, and analytical skills necessary for college. At the ChildrenÂ’s Aid Society Student Success Center, students work with a team of full-time counselors to explore collee and career goals and complete college and scholarship applications.",Spanish,Crotona Park East,"1021 Jennings Street, Bronx NY 10460 (40.831212, -73.885804)",718-861-0521,www.flhfhs.org,492,BRONX    
The Urban Assembly Bronx Academy of Letters,"Our school was founded on the idea that students who can express themselves in writing can succeed in any path. In addition to the challenging academic work offered, we are committed to providing learning opportunities outside of the classroom. Our students participate in a rigorous inquiry-based college preparatory curriculum, regular field trips to arts institutions, overnight trips to universities, SAT prep, and enriching community-building activities. Our student services team connects students to jobs, internships, and programs that allow them to travel all over the world. We celebrate hard work, curiosity, self-expression, and service. Our graduates are critical readers and writers, fully prepared to maximize their learning and growth.",Spanish,Mott Haven-Port Morris,"339 Morris Avenue, Bronx NY 10451 (40.813681, -73.925995)",718-401-4891,www.bronxletters.org,600,BRONX    
School for Democracy and Leadership,"This is a sixth through twelfth grade school that cultivates strong leaders and learners in our world. Our students have opportunities for internships, mentorships, college exploration, and student governance, supported by various partnerships. We emphasize student choice, parent and community participation, and the development of personal potential through student government. At Town Hall meetings and Change Projects, students work toward transforming a part of their community. Students take what they learn far beyond the school's halls -- to college, their communities, the city, and their future careers. They will be a positive force in the world, capable of influencing change and contributing constructively to democracy in our society.","French, Spanish",Prospect Lefferts Gardens,"600 Kingston Avenue, Brooklyn NY 11203 (40.658671, -73.943839)",718-771-4865,schools.nyc.gov/SchoolPortals/17/K533,292,BROOKLYN 
Fordham Leadership Academy for Business and Technology,"At Fordham Leadership Academy, we cater to the whole child with our unwavering commitment to develop future leaders that are prepared for the challenges of the 21st century via academic excellence and character development. Fordham Leadership Academy creates opportunities for students to excel academically. At our school, all students looking to receive an academically challenging experience will participate in after-school internships, CUNY College Now, Honors, Advanced Placement, and SUNY Albany college level opportunities.",Spanish,Belmont,"500 East Fordham Road, Bronx NY 10458 (40.859466, -73.888625)",718-733-5024,schools.nyc.gov/SchoolPortals/10/X438,410,BRONX    
High School for Public Service: Heroes of Tomorrow,"Our school enables students to develop academic and social skills necessary to be productive contributors to society. We offer a small and dynamic learning environment with many service learning opportunities, a major component of our school and student life. Our mission to perform community service is visible in our school and throughout the local neighborhoods. Students graduate with a resume of impressive credentials and experiences. They are encouraged to strive for excellence through challenging course work, medical and legal job internships, and hands-on community service experiences. We create the perfect recipe for success so that students are prepared for college and careers.",Spanish,Prospect Lefferts Gardens,"600 Kingston Avenue, Brooklyn NY 11203 (40.658671, -73.943839)",718-756-5325,schools.nyc.gov/SchoolPortals/17/K546,467,BROOKLYN 
William Cullen Bryant High School,"Our school is dedicated to ensuring that all students reach their full potential. Using interest-based, small learning communities and a strong honors program, each student is empowered to reach their highest academic potential in a nurturing environment. We provide students with real-world experience while fostering and promoting postsecondary readiness. Students are exposed to a plethora of co-curricular, extracurricular, and athletic activities to help them become well-rounded global citizens.","French, Greek, Italian, Spanish",Astoria,"48-10 31st Avenue, Astoria NY 11103 (40.757072, -73.911165)",718-721-5404,www.wcbryanths.org,"2,437",QUEENS   
Bronx High School of Business,"Through a focus on business administration and entrepreneurship, students prepare for success at competitive colleges and universities. We are committed to building a community of learners and leaders.","Japanese, Spanish",E. Concourse-Concourse Village,"240 East 172nd Street, Bronx NY 10457 (40.839307, -73.911366)",718-410-4060,schools.nyc.gov/SchoolPortals/09/X412,309,BRONX    
Business Technology Early College High School (BTECH),"Students attending Business Technology Early College High School (B-TECH) use technology to solve everyday problems. Our students become expert readers, writers, and critical thinkers with the technical skills to be successful in our modern, information-based global economy. Students have up to six years to earn a high school diploma and an Associate degree Â– free of cost Â– from Queensborough Community College. Students also receive hands-on job training and apprenticeship with SAP (an international enterprise software development company). Upon graduation, our students have the knowledge, skills, CTE certifications, and work experience to make them highly competitive for employment and/or four-year colleges.",,Bellerose,"230-17 Hillside Avenue, Queens Village NY 11427 (40.733888, -73.739726)",718-217-3613,schools.nyc.gov/SchoolPortals/26/Q315,208,QUEENS   
Academy of Finance and Enterprise,"The mission of the Academy of Finance and Enterprise is to provide students with an academic, business/financial, and technology program that is challenging, student centered, and project-based. Students are exposed to the world of global business and are inspired to become respectful and successful members of a continually evolving community. Students participate in mentoring, job shadowing, community service, and paid internships.",Spanish,Hunters Point-Sunnyside,"30-20 Thomson Avenue, Long Island City NY 11101 (40.744175, -73.937004)",718-389-3623,www.AOFEHS.org,514,QUEENS   
High School for Law and Public Service,"We believe that education is not a solitary endeavor; students and teachers must be active learners. We strive for excellence through a challenging, innovative, student-centered curriculum where students develop analytical skills to become critical, independent thinkers and lifelong learners. Students gain knowledge about the public sector, law, and their ability to make positive changes in the community. Parents, caregivers, and staff work together to provide students with opportunities to become invested in their communities through service learning, internships, mentoring programs, and partnerships. Their experiences allow them to apply their academic knowledge to real-life settings.",Spanish,Washington Heights N.,"549 Audubon Avenue, Manhattan NY 10040 (40.856532, -73.92606)",212-342-6130,www.myhslps.org,615,MANHATTAN
Brooklyn Institute for Liberal Arts (BILA),"The Brooklyn Institute for Liberal Arts (BILA) is an ideal school for students who want the best academic foundation to prepare them for college. We have challenging interactive classes, online classes, and the opportunity for students to succeed in a supportive, friendly, and energetic community. We encourage and celebrate student voice, mentor students who then mentor others, and develop student leaders. Monthly trips are part of a curriculum that allows students to see, learn about, and truly participate in this ever-changing world. Students with a love for technology will flourish in this Mac-based iZone school, with a variety of electives to suit individual student choice. At BILA, we Â“Believe, Inquire, Learn, and AchieveÂ” every day.",French,Prospect Lefferts Gardens,"600 Kingston Avenue, Brooklyn NY 11203 (40.658671, -73.943839)",718-221-1097,www.bilanyc.net,353,BROOKLYN 
Forest Hills High School,Our Blue Ribbon School of Excellence is committed to academic excellence and preparation for college. Equal in importance is the focus on developing among our students a sense of community and citizenship skills for a multicultural society.,"American Sign Language, Chinese (Mandarin), French, Hebrew, Italian, Latin, Spanish",Forest Hills,"67-01 110th Street, Forest Hills NY 11375 (40.730017, -73.843972)",718-268-3137,www.foresthillshs.org,"3,834",QUEENS   
NYC Lab School for Collaborative Studies,"Collaboration is the key element for all of our academic work. Students are expected to work in groups, be reflective of their own and of othersÂ’ work, take responsibility for advocating for their own needs and the needs of others, and support the school community through seriousness of purpose, ongoing engagement, and respect for all.",Spanish,Chelsea-Union Sq,"333 West 17th Street, Manhattan NY 10011 (40.742512, -74.002222)",212-691-6119,www.nyclabschool.org,527,MANHATTAN
Robert F. Kennedy Community High School,"This is a small, college preparatory high school that offers Honors, Advanced Placement (AP), and ICT classes. Our College Head Start Program enables students to earn college credits in 11th and 12th grades. We provide a challenging academic curriculum, Smartboards, computer labs, comprehensive student activities, and personalized counseling program. RFK provides students with an extensive array of Academic Intervention Services, including: Extended Day Instruction, Saturday Academy, Free SAT Prep Courses, Saturday ELL Academy, Saturday and After-School College Advisement, and Saturday and After-School Regents Preparation. Students of Robert F. Kennedy Community High School are required to complete 50 hours of community service.","Chinese (Mandarin), Spanish",Kew Gardens Hills,"75-40 Parsons Boulevard, Fresh Meadows NY 11366 (40.72528, -73.811408)",718-969-5510,www.rfkschools.org,720,QUEENS   
The High School For Language And Diplomacy,"Through a challenging academic program that provides opportunities for public service and global awareness, our students learn the craft of international diplomacy while developing their technology and communication skills. Students also have the opportunity to achieve proficiency in Mandarin and French through an intensive, engaging program designed for students of all levels, including those who have never studied the language before.","Arabic, Chinese (Mandarin), French, German, Spanish",Gramercy,"40 Irving Place, Manhattan NY 10003 (40.735361, -73.987064)",212-253-2480,www.hsflad.org,443,MANHATTAN
Performing Arts and Technology High School,"Students are provided with a comprehensive education that includes performing arts, technology, and Advanced Placement (AP) courses. Our school supports and develops the talents of students through dance, drama, and instrumental and vocal music. We offer graphic and webpage design and CISCO Certification Training. We build partnerships with the professional performing arts community, institutions of higher learning and other organizations to provide opportunities for internships or college-level study: Brooklyn College, Medgar Ever College, Syracuse University, SAGA Innovations, the Step Up program, the Leadership Organization, and Hip Hop 4 Life. Our clubs and teams develop leadership capacity in all members of our school community.",Spanish,East New York,"400 Pennsylvania Avenue, Brooklyn NY 11207 (40.666868, -73.895122)",718-922-0762,schools.nyc.gov/schoolportals/19/k507,441,BROOKLYN 
University Neighborhood High School,"We are a small, inclusive school guided by 4 pillars: Honor, Excellence, Curiosity, and Celebration. 98% of our students go to college. Students engage in a college-bound academic program of Regents, AP, College Now courses, and study Chinese, Korean, or Japanese. We offer a robust after-school club culture supported by our student government. We encourage acts of kindness through RachelÂ’s Challenge, an anti-bullying program. Our Parent Coordinator keeps parents informed through biweekly postcards, a newsletter, and First Fridays. Grades and progress reports are available online. Seniors attend college prep classes; juniors can take onsite Kaplan SAT prep courses. Our NEST program provides significant individual support for students with autism.","Chinese (Mandarin), Spanish",Lower East Side,"200 Monroe Street, Manhattan NY 10002 (40.712269, -73.984128)",212-962-4341,www.universityneighborhoodhs.org,343,MANHATTAN
Ralph R. McKee Career and Technical Education High School,"McKee prepares you for college, career, and life. Here, you learn more, whether your dream is to design the most iconic building in New York City or join the Local 20. At McKee, we have small classes, committed faculty, secure grounds, and sophisticated technology. We provide you with the knowledge, study habits, resources, and guidance to attend college and shine once you do. We equip you with skills and certifications to start your career in fields like construction, drafting, electrical engineering, graphic arts, and software engineering. We teach you to think for yourself. We know you Â– your name, where you are from, how you learn, where you struggle Â– and you will never be just a number. Remember Â– McKee: College, Career, and Life.",Italian,New Brighton-St. George,"290 St Marks Place, Staten Island NY 10301 (40.64282, -74.079263)",718-420-2600,www.mckeecths.org,650,STATEN IS
John Adams High School,"As a large school, students can choose from a broad array of Advanced Placement (AP) and CUNY College Now classes, numerous electives in expanding technology, science, writing, art, and music programs, more than thirty athletic teams, clubs, and extracurricular activities. We have eight Small Learning Communities, each with its own area of focus led by staff who work with the same group of students for all four years. We prepare all students for college and career, supported by partners such as CEI-PEA, York College, and New York City College of Technology. We have upcoming partnerships with SUNY Albany and are a candidate for the International Baccalaureate Program. We have adopted a PBIS Framework to promote a positive school culture.","American Sign Language, Bengali, Hindi, Spanish",South Ozone Park,"101-01 Rockaway Boulevard, Ozone Park NY 11417 (40.680065, -73.838616)",718-322-0500,www.johnadamsnyc.org,"2,386",QUEENS   
Essex Street Academy,"Essex Street Academy (ESA) prepares all students for success in college and careers by treating them as individuals with specific strengths and needs and appealing to their intellectual curiosity. We offer elective courses that challenge students to develop their own ideas and push them to learn by doing. Students design and conduct experiments, develop historical theses, analyze works of literature, and develop solutions and proofs for mathematical problems. Small class size makes a personalized approach to education possible, enabling teachers to develop an individual relationship with each student. At ESA, our students are active learners and graduate from our school confident in their ability to tackle any problem they encounter.","French, German, Spanish",Chinatown,"350 Grand Street, Manhattan NY 10002 (40.717329, -73.989329)",212-475-4773,www.essexstreetacademy.org,356,MANHATTAN
High School of Telecommunication Arts and Technology,"Our school is truly a school for the 21st century, enhancing rigorous academics in the liberal arts tradition with the most advanced technologies. Our small and ethnically diverse student body and our outstanding faculty work together to explore and maximize each student's individual strengths. Through an incredibly rich array of programs, electives, teams, and clubs, we offer students the opportunity to find a niche and to develop into responsible and productive citizens. We are very proud that our graduates have demonstrated their ability to be successful in the finest universities in the nation. In addition to our challenging educational program, we are an exceptionally friendly school - one of the best-kept secrets in the city.",Spanish,Bay Ridge,"350 67th Street, Brooklyn NY 11220 (40.636721, -74.023419)",718-759-3400,www.hstat.org,"1,277",BROOKLYN 
Channel View School for Research,"As an Expeditionary Learning school, our approach to curriculum connects learning to real-world issues. Our Learning Expeditions and field visits get students out of the classroom and into the practice of investigating solutions to real-world problems. Our Expeditionary Learning emphasis invests students in their community, teaches them the value of leadership and service, and establishes a solid academic base from which students can launch careers in fields such as science, government, medicine, law, and education. Character development is our foundation; studentsÂ’ habits of work and learning are service, trust, accountability, and respect (STAR).",Spanish,Breezy Point-Rockaway Park,"100-00 Beach Channel Drive, Rockaway Park NY 11694 (40.586012, -73.825317)",718-634-1970,www.cvsr.info,736,QUEENS   
Williamsburg High School for Architecture and Design,"Williamsburg High School for Architecture and Design (WHSAD) offers a unique four-year sequence focusing on architectural drafting, computer aided design (AutoCAD), and design principles. Our hands-on approach to architecture, design, and the visual arts integrates college prep, internship experiences, and skills training throughout core academic disciplines, providing students with the requisite education to succeed in the 21st century workplace. Partnerships with local businesses and apprenticeships provide students with opportunities and interactions with professionals. Students can earn a CTE-endorsed diploma in Architectural Drafting and CAD, and up to six college credits, upon graduation.",Spanish,Williamsburg,"257 North 6th Street, Brooklyn NY 11211 (40.715561, -73.954815)",718-388-1260,www.WHSAD.org,573,BROOKLYN 
"Young Women's Leadership School, Queens (TYWLS)","The Young WomenÂ’s Leadership School (TYWLS) nurtures the intellectual curiosity and creativity of young women by supporting the whole girl in order to maximize academic achievement, social-emotional well-being, and postsecondary success. TYWLS-Queens is supported by Young WomenÂ’s Leadership Network and its CollegeBound Initiative to replicate the best practices of private and independent girls schools. TYWLS-Queens opened in 2005 as the third school in the network. TYWLS-Queens strives to instill in students a sense of self-efficacy and community responsibility, characteristics that will support them as they become the leaders of the next generation. TYWLS-Queens expects families to play an active role in their daughtersÂ’ education.","Arabic, French, Greek, Italian, Japanese, Korean, Spanish",Briarwood-Jamaica Hills,"150-91 87 Road, Jamaica NY 11432 (40.708409, -73.804166)",718-725-0402,www.tywlsqueens.org,552,QUEENS   
Academy of Hospitality and Tourism,"Orchard Collegiate Academy (OCA) is a supportive, high-quality community school with a focus on college and career readiness.  At OCA, our mission is to educate the whole child--exposing them to a diverse array of academic and extracurricular opportunities including music and arts classes, AP classes, leadership opportunities. Within our small school community, students and staff form strong relationships with students. Our school partners with the Henry Street Settlement to provide additional college preparation, arts programming, social-emotional support, and resources and referrals for the entire family. Students benefit from a full-time college counselor who provides 1-on-1 college counseling and college trips to all students.  Our partnership with the Abrons Arts Center allows students to participate in world-class performing arts programming, including drama, music, and dance.",Spanish,Flatbush,"911 Flatbush Avenue, Brooklyn NY 11226 (40.649602, -73.957173)",718-564-2580,www.aohterasmus.org,224,BROOKLYN 
Pablo Neruda Academy,"Our mission is to engage, inspire, and educate our students so that they develop skills to succeed in college and beyond. Our students work in small groups guided by skilled and caring teachers to solve challenging problems. Each student is well-known by staff members and is assigned an advisor who works closely with them each week to monitor their progress. We celebrate successes and students are recognized for their accomplishments.",Spanish,Castle Hill-Clason Point,"1980 Lafayette Avenue, Bronx NY 10473 (40.821218, -73.85593)",718-824-1682,schools.nyc.gov/SchoolPortals/08/X305,315,BRONX    
In-Tech Academy (M.S. / High School 368),"In-Tech Academy is a magnet school for applied global technology serving a population of students in grades six through twelve. We strive to give all students opportunities to become independent learners and creative thinkers. We encourage students to use technology to compile, organize, analyze, create, and present new information which will ensure success in our competitive technological world.",Spanish,Spuyten Duyvil-Kingsbridge,"2975 Tibbett Avenue, Bronx NY 10463 (40.877935, -73.913694)",718-432-4300,www.in-techacademy.org,966,BRONX    
Bronx Career and College Preparatory High School,"Our school couples relevant internship experiences with rigorous academic learning. Students learn to be prompt, prepared, positive, and productive and strive to embody our core principles as they develop responsibility, teamwork, and the resiliency needed to enter college and to exceed academic and industry-based standards. We provide our students small class size, advisory, internships, and quality college and career readiness instruction and training to ensure that 100% of students graduate prepared for college and careers. There is a strong culture that mirrors college and employment where students respect teachers, work hard, and arrive on time. We ensure that each student is cognitively engaged, fully valued, and fully heard.","Italian, Spanish",Longwood,"800 Home Street, Bronx NY 10456 (40.826933, -73.900593)",718-542-4011,www.bccprep.com,323,BRONX    
Bronx Aerospace High School,"Bronx Aerospace High School (BAHS) is a college preparatory school. All students must wear a uniform. BAHS teaches the necessary skills to not only be accepted into a 4 year university, but to successfully earn a college degree. Students have access to SAT prep, literacy building and AP Courses. Qualified students enroll in our Aviation Program. These students attend Vaughn College to learn the principles of the aerodynamics behind flying aircrafts. Students will work towards passing the FAA Written Exam and graduate having logged flight hours. Students in this program will learn and practice using the FMX Redbird Simulator. This program is designed for those interested in the engineering field of Aviation or becoming pilots.",Spanish,Williamsbridge-Olinville,"800 East Gun Hill Road, Bronx NY 10467 (40.875172, -73.861649)",718-696-6010,schools.nyc.gov/SchoolPortals/11/X545,395,BRONX    
Newtown High School,"We are devoted to building a community of critical thinkers. We embrace diversity as an aid to learning and to the development of strong community spirit. We strive to produce graduates with a solid intellectual and ethical foundation. Our proud history of serving the community and our student body provides a school tradition that inspires and cultivates hard work and success. We are a Small Learning Communities school with communities in Business, Arts and Media, Engineering, Forensics, International, and a Freshmen Success Academy.","Chinese (Mandarin), French, Spanish",Elmhurst,"48-01 90th Street, Elmhurst NY 11373 (40.740824, -73.874129)",718-595-8400,www.newtownhighschool.org,"1,961",QUEENS   
Frederick Douglass Academy III Secondary School,"Frederick Douglass Academy III is built on Dr. Lorraine MonroeÂ’s vision of academic and personal excellence for all Scholars. The emphasis on college preparation is supported by a challenging academic program, social, and emotional development and cultural enrichment. Through the Core Values Â– Respect, Education, Professionalism, and Community Awareness Â– Scholars evolve as they matriculate at Frederick Douglass Academy III. Our warm, supportive environment fosters the growth and development of our youngsters. Over the course of four years, Scholars graduate from our school prepared to enter the college or university of their choice.",Spanish,Claremont-Bathgate,"3630 Third Avenue, Bronx NY 10456 (40.833493, -73.903951)",718-538-9726,schools.nyc.gov/SchoolPortals/09/X517,420,BRONX    
Rockaway Park High School for Environmental Sustainability,The mission of Rockaway Park High School is to prepare students for college and careers through a curriculum centered on environmental sustainability. We believe learning is most dynamic when students are given hands-on experiences through an interdisciplinary curriculum that reaches a wide range of learning styles. Rockaway Park High School is a highly personalized environment in which each student is known well by the school community. Students graduate with the critical thinking skills necessary to pursue their scholarly passions and interests after high school.,Spanish,Breezy Point-Rockaway Park,"100-00 Beach Channel Drive, Rockaway Park NY 11694 (40.586012, -73.825317)",718-734-3280,www.RockawayParkHS.com,365,QUEENS   
Bronx Compass High School,"Game Design. Art. Music Production/Sound Engineering. Software Engineering. We do school differently. We provide a personalized and technology-infused program that challenges students to design, create, and publish masterful work products using the latest technology. Beyond our college-readiness coursework, students have opportunities to learn from real world experts and award winning teachers. Whether you are an aspiring entertainer or you plan to be a software entrepreneur someday, you will enjoy working with your classmates to create original movies, graphic designs, albums, video games, and apps. Our graduates are masterful, insightful problem solvers ready to take on the world.",Spanish,Castle Hill-Clason Point,"1980 Lafayette Avenue, Bronx NY 10473 (40.821218, -73.85593)",718-828-1206,www.bronxcompass.org,440,BRONX    
Health Opportunities High School,"We are committed to preparing a diverse community of students to become life-long learners and providers of excellent health care. Our curriculum is embedded with health-related themes while focused on the sciences. Students may earn college credits through our partnerships with Hostos Community Colleges and Lehman College. All students are required to complete 120 hours of fieldwork in one of our many health-related internships. Preparing students for college and the world of work is a necessity, so we employ a full-time College Bound Initiative counselor and various staff from community-based organizations (Liberty Partnership, Morris Heights Center) to support us in reaching that goal.","Japanese, Spanish",West Concourse,"350 Gerard Avenue, Bronx NY 10451 (40.815712, -73.92996)",718-401-1826,www.hopschool.com,554,BRONX    
Food and Finance High School,"We offer an academically challenging CTE program focusing on the culinary arts and finance. Since we believe that food is fundamental to personal, social, economic, and ecological health, the themes of food and finance are integrated into our curriculum and school environment. Cornell University, our lead partner, brings expertise in science, sustainable food production, nutrition, and other topics. Students develop critical thinking skills while engaged in projects, portfolio development, internships, and entrepreneurial ventures. In addition to the state endorsed CTE diploma, students are expected to take a series of industry-recognized certification examinations.",Spanish,Clinton,"525 West 50th Street, Manhattan NY 10019 (40.765474, -73.9927)",212-586-2943,www.foodfinancehs.org,410,MANHATTAN
"Mathematics, Science Research and Technology Magnet High School","Students that come to our school are interested in math and science. Students will learn how to conduct scientific research and receive the opportunity to earn college credit through our affiliation with City University of New York (CUNY) Queens College,CUNY College Now at Queensborough Community College, State University of New York (SUNY) University at Albany, SUNY College of Environmental Science and Forestry (SUNY-ESF) University in the High School programs. We also offer Advanced Placement courses. Students will graduate from our school prepared with the necessary skills to succeed in college and the world of work.","French, Spanish",Cambria Heights,"207- 01 116th Avenue, Cambria Heights NY 11411 (40.698786, -73.74633)",718-978-1837,schools.nyc.gov/SchoolPortals/29/Q492,437,QUEENS   
Secondary School for Journalism,"Students at Secondary School for Journalism (SSJ) recognize that 21st century learning must reflect the technological innovations of our time. We are striving, as critical consumers of media and technology, to generate thoughtful and responsible written communication on all digital platforms. Through productive dialogue, we engage in authentic problem-solving and project-based learning, utilizing reading, writing, and technology to build the skills and knowledge necessary to ensure a competitive edge as we apply to college, enter the work force, and become responsible members of our society.","French, Spanish",Park Slope-Gowanus,"237 7th Avenue, Brooklyn NY 11215 (40.669255, -73.97858)",718-832-4201,schools.nyc.gov/SchoolPortals/15/K463,222,BROOKLYN 
Bronx Guild,"We capture the energy and interests of young people by providing apprenticeships. Students give public presentations each quarter on their learning. Each studentÂ’s curriculum is determined by his or her unique interests, background, and learning style. Each teacher is responsible for only fifteen children. Learning Through Apprenticeship (LTA) is the center of the Bronx Guild curriculum. At the worksites, students take on real-world tasks and projects under the supervision of a mentor. Back at school, the students work with their crew leaders building and reinforcing the skills and knowledge needed to complete those projects. Our very successful program has placed students in over 300 apprenticeships since opening our doors in 2002.","French, Spanish",Castle Hill-Clason Point,"1980 Lafayette Avenue, Bronx NY 10473 (40.821218, -73.85593)",718-597-1587,www.thebronxguildhighschool.org,322,BRONX    
Fort Hamilton High School,"Fort Hamilton High School is the largest comprehensive urban high school in a suburban setting and is referred to as the jewel in the crown of the Bay Ridge community. Based on the philosophy that all students can succeed, Fort Hamilton High School strives to set the standard for excellence and is a magnet program citywide for the performing arts. The school facility has experienced a renaissance: a modern science lab and state-of-the-art dance room for the Joffrey Ballet Academy. The school is replete with state-of-the-art technology including SmartBoards in every classroom, Mobile Labs, and iPad Labs.","Arabic, Chinese (Mandarin), French, Greek, Italian, Spanish",Bay Ridge,"8301 Shore Road, Brooklyn NY 11209 (40.626827, -74.038103)",718-748-1537,www.fthhs.org,"4,408",BROOKLYN 
Townsend Harris High School,"Townsend Harris is an academically selective high school that is recognized nationally as a model of secondary education. The culturally diverse student body comprises approximately 1,100 individuals who have demonstrated evidence of high academic motivation and achievement. Our program emphasizes mastery in the humanities, math, and science, with an emphasis on Classics, and requires of our students the leadership skills, discipline, and work ethic expected by the most demanding colleges and careers.","French, Greek, Japanese, Latin, Spanish",Kew Gardens Hills,"149-11 Melbourne Avenue, Flushing NY 11367 (40.737038, -73.821532)",718-575-5580,www.thhs.qc.edu,"1,133",QUEENS   
Clara Barton High School,"The primary focus of Clara Barton High School is to prepare students with an interest in the health professions for college and/or entry-level positions in a health career. As a CTE School, we offer students many career opportunities through a variety of special programs and courses. We also provide a challenging honors program (Gateway) for students that qualify. We test all students for proper programs and course placement.","American Sign Language, French, Haitian Creole, Spanish",Crown Heights South,"901 Classon Avenue, Brooklyn NY 11225 (40.669805, -73.960689)",718-636-4900,www.clarabartonhighschool.org,"1,358",BROOKLYN 
Murry Bergtraum High School for Business Careers,"The mission of Murry Bergtraum (MBHS) is to equip our students with the skills and knowledge to enter and succeed in post-secondary institutions. The Ninth Grade Academy provides the academic support, skills, and resources in a small nurturing environment needed for students to graduate in four years. As students progress, internships and mentoring opportunities support our academic goals with real-world experiences. The Blazer Early College Preparatory Academy, a STEM program, emphasizes analytical and critical thinking skills through an early reinforcement of college learning across a rigorous curriculum. Relationships established with our corporate and academic partners are at the foundation of our program.","American Sign Language, Chinese (Mandarin), Latin, Spanish",Chinatown,"411 Pearl Street, Manhattan NY 10038 (40.711441, -74.000851)",212-964-9610,http://schools.nyc.gov/SchoolPortals/02/M520/default.htm,598,MANHATTAN
Professional Pathways High School,"In partnership with CAMBA, Professional Pathways High School is a small school dedicated to educating and motivating students in an alternative setting through a personalized approach to learning and development. The schoolÂ’s mission is to support the academic and social needs of students through strong partnerships between all members of the school community, re-engaging students academically through Project-Based Learning with an emphasis on post-secondary readiness and literacy, and building college/career readiness through computer literacy and career exposure. We will ensure that each student graduates with clearly articulated goals and a plan for postsecondary success.",Spanish,Sheepshead Bay,"3000 Avenue X, Brooklyn NY 11235 (40.593157, -73.936635)",718-332-6290,schools.nyc.gov/SchoolPortals/22/K630,212,BROOKLYN 
NYC Museum School,"We offer a unique program that uses the cityÂ’s museums to enrich the curriculum. We currently partner with the Metropolitan Museum of Art, the Museum of the City of New York, Japan Society, and the Rubin Museum of Art, who each become extensions of our classrooms, affording the hands-on experience needed to make learning deep, challenging, and engaging. By studying in class, museums, and other institutions, students learn to emulate the work of scholars in the fields of science, history, technology and the arts. Classroom instruction draws upon learning that takes place in the field, and deepens it with content that compels questioning, reflection, and insight.","French, Japanese, Spanish",Chelsea-Union Sq,"333 West 17th Street, Manhattan NY 10011 (40.742512, -74.002222)",212-675-6206,www.nycmuseumschool.org,446,MANHATTAN
William E. Grady Career and Technical Education High School,"Our learning community is molded after the CTE tradition. Respectful of our students' self-worth, we dedicate ourselves to the development of a caring, sharing, and challenging atmosphere. Through a variety of educational offerings, social and cultural experiences, athletic programs, work opportunities, and services, we develop the whole student. We devote all of our resources to ensure that each student receives the education necessary to meet the challenges of a changing world.",Spanish,Brighton Beach,"25 Brighton 4th Road, Brooklyn NY 11235 (40.583263, -73.963764)",718-332-5000,www.gradyhs.com,549,BROOKLYN 
Alfred E. Smith Career and Technical Education High School,"Students can earn both an academic Regents diploma as well as a state-approved technical endorsement in the automotive trades. The ninth grade program is specifically designed to transition students into high school by providing additional academic support in both English Language Arts and Math. Students immediately begin their career sequence in ninth grade with hands-on classes in their CTE program. Our College and Career Center counsels students as they develop their post-secondary plans by offering frequent college trips, career interest workshops, and mentoring and internship opportunities.",Spanish,Melrose S.-Mott Haven N.,"333 East 151st Street, Bronx NY 10451 (40.818645, -73.919949)",718-993-5000,www.aesmithhs.org,415,BRONX    
